Reporting_Airline,IATA_CODE_Reporting_Airline,Aircraft,Form,To,DepTime,ArrTime,ArrDelayMinutes,ActualElapsedTime,Distance,OriginUTC,DestUTC,SDT,SAT,FTij,bus,eco,ACtype,demand_bus,demand_eco,fare_bus,fare_eco,cost,Flight
WN,WN,11,S67,S5,2000,2125,10,85,446,-8,-8,100800,105900,5100,0,143,1,0,64,71,142,7410,95
WN,WN,1,S43,S5,2212,2254,33,102,1468,-6,-8,101160,115320,14160,0,143,1,0,60,234,306,15852,96
WN,WN,2,S67,S40,2029,2202,0,93,1027,-8,-8,102180,111600,9420,0,143,1,0,65,164,235,12209,97
WN,WN,5,S49,S75,2132,2320,10,168,909,-7,-8,102720,112800,10080,0,143,1,0,54,145,216,11235,98
WN,WN,4,S104,S75,2043,2204,0,81,358,-8,-8,103380,108240,4860,0,143,1,0,58,57,128,6683,99
WN,WN,9,S109,S43,2145,2237,0,52,1067,-8,-6,105480,114900,9420,0,143,1,0,69,170,242,12540,100
WN,WN,13,S109,S141,2137,2254,0,77,1222,-8,-6,105660,117180,11520,0,175,2,0,80,195,283,15610,101
WN,WN,6,S109,S140,2202,6,0,64,236,-8,-8,106680,111180,4500,0,143,1,0,69,37,109,5676,102
WN,WN,11,S5,S180,2212,44,0,92,512,-8,-7,107700,112920,5220,0,143,1,0,55,81,153,7955,103
WN,WN,7,S109,S46,2224,2341,24,77,1910,-8,-5,108360,122820,14460,0,143,1,0,65,305,377,19503,104
WN,WN,5,S75,S155,2132,2320,0,168,532,-8,-7,114600,119880,5280,0,143,1,0,70,85,156,8122,105
